,date,price,asin,market
0,2015-01-01,0.0,B09GSWML11,us
1,2015-01-02,0.0,B09GSWML11,us
2,2015-01-03,0.0,B09GSWML11,us
3,2015-01-04,0.0,B09GSWML11,us
4,2015-01-05,0.0,B09GSWML11,us
5,2015-01-06,0.0,B09GSWML11,us
6,2015-01-07,0.0,B09GSWML11,us
7,2015-01-08,0.0,B09GSWML11,us
8,2015-01-09,0.0,B09GSWML11,us
9,2015-01-10,0.0,B09GSWML11,us
10,2015-01-11,0.0,B09GSWML11,us
11,2015-01-12,0.0,B09GSWML11,us
12,2015-01-13,0.0,B09GSWML11,us
13,2015-01-14,0.0,B09GSWML11,us
14,2015-01-15,0.0,B09GSWML11,us
15,2015-01-16,0.0,B09GSWML11,us
16,2015-01-17,0.0,B09GSWML11,us
17,2015-01-18,0.0,B09GSWML11,us
18,2015-01-19,0.0,B09GSWML11,us
19,2015-01-20,0.0,B09GSWML11,us
20,2015-01-21,0.0,B09GSWML11,us
21,2015-01-22,0.0,B09GSWML11,us
22,2015-01-23,0.0,B09GSWML11,us
23,2015-01-24,0.0,B09GSWML11,us
24,2015-01-25,0.0,B09GSWML11,us
25,2015-01-26,0.0,B09GSWML11,us
26,2015-01-27,0.0,B09GSWML11,us
27,2015-01-28,0.0,B09GSWML11,us
28,2015-01-29,0.0,B09GSWML11,us
29,2015-01-30,0.0,B09GSWML11,us
30,2015-01-31,0.0,B09GSWML11,us
31,2015-02-01,0.0,B09GSWML11,us
32,2015-02-02,0.0,B09GSWML11,us
33,2015-02-03,0.0,B09GSWML11,us
34,2015-02-04,0.0,B09GSWML11,us
35,2015-02-05,0.0,B09GSWML11,us
36,2015-02-06,0.0,B09GSWML11,us
37,2015-02-07,0.0,B09GSWML11,us
38,2015-02-08,0.0,B09GSWML11,us
39,2015-02-09,0.0,B09GSWML11,us
40,2015-02-10,0.0,B09GSWML11,us
41,2015-02-11,0.0,B09GSWML11,us
42,2015-02-12,0.0,B09GSWML11,us
43,2015-02-13,0.0,B09GSWML11,us
44,2015-02-14,0.0,B09GSWML11,us
45,2015-02-15,0.0,B09GSWML11,us
46,2015-02-16,0.0,B09GSWML11,us
47,2015-02-17,0.0,B09GSWML11,us
48,2015-02-18,0.0,B09GSWML11,us
49,2015-02-19,0.0,B09GSWML11,us
50,2015-02-20,0.0,B09GSWML11,us
51,2015-02-21,0.0,B09GSWML11,us
52,2015-02-22,0.0,B09GSWML11,us
53,2015-02-23,0.0,B09GSWML11,us
54,2015-02-24,0.0,B09GSWML11,us
55,2015-02-25,0.0,B09GSWML11,us
56,2015-02-26,0.0,B09GSWML11,us
57,2015-02-27,0.0,B09GSWML11,us
58,2015-02-28,0.0,B09GSWML11,us
59,2015-03-01,0.0,B09GSWML11,us
60,2015-03-02,0.0,B09GSWML11,us
61,2015-03-03,0.0,B09GSWML11,us
62,2015-03-04,0.0,B09GSWML11,us
63,2015-03-05,0.0,B09GSWML11,us
64,2015-03-06,0.0,B09GSWML11,us
65,2015-03-07,0.0,B09GSWML11,us
66,2015-03-08,0.0,B09GSWML11,us
67,2015-03-09,0.0,B09GSWML11,us
68,2015-03-10,0.0,B09GSWML11,us
69,2015-03-11,0.0,B09GSWML11,us
70,2015-03-12,0.0,B09GSWML11,us
71,2015-03-13,0.0,B09GSWML11,us
72,2015-03-14,0.0,B09GSWML11,us
73,2015-03-15,0.0,B09GSWML11,us
74,2015-03-16,0.0,B09GSWML11,us
75,2015-03-17,0.0,B09GSWML11,us
76,2015-03-18,0.0,B09GSWML11,us
77,2015-03-19,0.0,B09GSWML11,us
78,2015-03-20,0.0,B09GSWML11,us
79,2015-03-21,0.0,B09GSWML11,us
80,2015-03-22,0.0,B09GSWML11,us
81,2015-03-23,0.0,B09GSWML11,us
82,2015-03-24,0.0,B09GSWML11,us
83,2015-03-25,0.0,B09GSWML11,us
84,2015-03-26,0.0,B09GSWML11,us
85,2015-03-27,0.0,B09GSWML11,us
86,2015-03-28,0.0,B09GSWML11,us
87,2015-03-29,0.0,B09GSWML11,us
88,2015-03-30,0.0,B09GSWML11,us
89,2015-03-31,0.0,B09GSWML11,us
90,2015-04-01,0.0,B09GSWML11,us
91,2015-04-02,0.0,B09GSWML11,us
92,2015-04-03,0.0,B09GSWML11,us
93,2015-04-04,0.0,B09GSWML11,us
94,2015-04-05,0.0,B09GSWML11,us
95,2015-04-06,0.0,B09GSWML11,us
96,2015-04-07,0.0,B09GSWML11,us
97,2015-04-08,0.0,B09GSWML11,us
98,2015-04-09,0.0,B09GSWML11,us
99,2015-04-10,0.0,B09GSWML11,us
100,2015-04-11,0.0,B09GSWML11,us
101,2015-04-12,0.0,B09GSWML11,us
102,2015-04-13,0.0,B09GSWML11,us
103,2015-04-14,0.0,B09GSWML11,us
104,2015-04-15,0.0,B09GSWML11,us
105,2015-04-16,0.0,B09GSWML11,us
106,2015-04-17,0.0,B09GSWML11,us
107,2015-04-18,0.0,B09GSWML11,us
108,2015-04-19,0.0,B09GSWML11,us
109,2015-04-20,0.0,B09GSWML11,us
110,2015-04-21,0.0,B09GSWML11,us
111,2015-04-22,0.0,B09GSWML11,us
112,2015-04-23,0.0,B09GSWML11,us
113,2015-04-24,0.0,B09GSWML11,us
114,2015-04-25,0.0,B09GSWML11,us
115,2015-04-26,0.0,B09GSWML11,us
116,2015-04-27,0.0,B09GSWML11,us
117,2015-04-28,0.0,B09GSWML11,us
118,2015-04-29,0.0,B09GSWML11,us
119,2015-04-30,0.0,B09GSWML11,us
120,2015-05-01,0.0,B09GSWML11,us
121,2015-05-02,0.0,B09GSWML11,us
122,2015-05-03,0.0,B09GSWML11,us
123,2015-05-04,0.0,B09GSWML11,us
124,2015-05-05,0.0,B09GSWML11,us
125,2015-05-06,0.0,B09GSWML11,us
126,2015-05-07,0.0,B09GSWML11,us
127,2015-05-08,0.0,B09GSWML11,us
128,2015-05-09,0.0,B09GSWML11,us
129,2015-05-10,0.0,B09GSWML11,us
130,2015-05-11,0.0,B09GSWML11,us
131,2015-05-12,0.0,B09GSWML11,us
132,2015-05-13,0.0,B09GSWML11,us
133,2015-05-14,0.0,B09GSWML11,us
134,2015-05-15,0.0,B09GSWML11,us
135,2015-05-16,0.0,B09GSWML11,us
136,2015-05-17,0.0,B09GSWML11,us
137,2015-05-18,0.0,B09GSWML11,us
138,2015-05-19,0.0,B09GSWML11,us
139,2015-05-20,0.0,B09GSWML11,us
140,2015-05-21,0.0,B09GSWML11,us
141,2015-05-22,0.0,B09GSWML11,us
142,2015-05-23,0.0,B09GSWML11,us
143,2015-05-24,0.0,B09GSWML11,us
144,2015-05-25,0.0,B09GSWML11,us
145,2015-05-26,0.0,B09GSWML11,us
146,2015-05-27,0.0,B09GSWML11,us
147,2015-05-28,0.0,B09GSWML11,us
148,2015-05-29,0.0,B09GSWML11,us
149,2015-05-30,0.0,B09GSWML11,us
150,2015-05-31,0.0,B09GSWML11,us
151,2015-06-01,0.0,B09GSWML11,us
152,2015-06-02,0.0,B09GSWML11,us
153,2015-06-03,0.0,B09GSWML11,us
154,2015-06-04,0.0,B09GSWML11,us
155,2015-06-05,0.0,B09GSWML11,us
156,2015-06-06,0.0,B09GSWML11,us
157,2015-06-07,0.0,B09GSWML11,us
158,2015-06-08,0.0,B09GSWML11,us
159,2015-06-09,0.0,B09GSWML11,us
160,2015-06-10,0.0,B09GSWML11,us
161,2015-06-11,0.0,B09GSWML11,us
162,2015-06-12,0.0,B09GSWML11,us
163,2015-06-13,0.0,B09GSWML11,us
164,2015-06-14,0.0,B09GSWML11,us
165,2015-06-15,0.0,B09GSWML11,us
166,2015-06-16,0.0,B09GSWML11,us
167,2015-06-17,0.0,B09GSWML11,us
168,2015-06-18,0.0,B09GSWML11,us
169,2015-06-19,0.0,B09GSWML11,us
170,2015-06-20,0.0,B09GSWML11,us
171,2015-06-21,0.0,B09GSWML11,us
172,2015-06-22,0.0,B09GSWML11,us
173,2015-06-23,0.0,B09GSWML11,us
174,2015-06-24,0.0,B09GSWML11,us
175,2015-06-25,0.0,B09GSWML11,us
176,2015-06-26,0.0,B09GSWML11,us
177,2015-06-27,0.0,B09GSWML11,us
178,2015-06-28,0.0,B09GSWML11,us
179,2015-06-29,0.0,B09GSWML11,us
180,2015-06-30,0.0,B09GSWML11,us
181,2015-07-01,0.0,B09GSWML11,us
182,2015-07-02,0.0,B09GSWML11,us
183,2015-07-03,0.0,B09GSWML11,us
184,2015-07-04,0.0,B09GSWML11,us
185,2015-07-05,0.0,B09GSWML11,us
186,2015-07-06,0.0,B09GSWML11,us
187,2015-07-07,0.0,B09GSWML11,us
188,2015-07-08,0.0,B09GSWML11,us
189,2015-07-09,0.0,B09GSWML11,us
190,2015-07-10,0.0,B09GSWML11,us
191,2015-07-11,0.0,B09GSWML11,us
192,2015-07-12,0.0,B09GSWML11,us
193,2015-07-13,0.0,B09GSWML11,us
194,2015-07-14,0.0,B09GSWML11,us
195,2015-07-15,0.0,B09GSWML11,us
196,2015-07-16,0.0,B09GSWML11,us
197,2015-07-17,0.0,B09GSWML11,us
198,2015-07-18,0.0,B09GSWML11,us
199,2015-07-19,0.0,B09GSWML11,us
200,2015-07-20,0.0,B09GSWML11,us
201,2015-07-21,0.0,B09GSWML11,us
202,2015-07-22,0.0,B09GSWML11,us
203,2015-07-23,0.0,B09GSWML11,us
204,2015-07-24,0.0,B09GSWML11,us
205,2015-07-25,0.0,B09GSWML11,us
206,2015-07-26,0.0,B09GSWML11,us
207,2015-07-27,0.0,B09GSWML11,us
208,2015-07-28,0.0,B09GSWML11,us
209,2015-07-29,0.0,B09GSWML11,us
210,2015-07-30,0.0,B09GSWML11,us
211,2015-07-31,0.0,B09GSWML11,us
212,2015-08-01,0.0,B09GSWML11,us
213,2015-08-02,0.0,B09GSWML11,us
214,2015-08-03,0.0,B09GSWML11,us
215,2015-08-04,0.0,B09GSWML11,us
216,2015-08-05,0.0,B09GSWML11,us
217,2015-08-06,0.0,B09GSWML11,us
218,2015-08-07,0.0,B09GSWML11,us
219,2015-08-08,0.0,B09GSWML11,us
220,2015-08-09,0.0,B09GSWML11,us
221,2015-08-10,0.0,B09GSWML11,us
222,2015-08-11,0.0,B09GSWML11,us
223,2015-08-12,0.0,B09GSWML11,us
224,2015-08-13,0.0,B09GSWML11,us
225,2015-08-14,0.0,B09GSWML11,us
226,2015-08-15,0.0,B09GSWML11,us
227,2015-08-16,0.0,B09GSWML11,us
228,2015-08-17,0.0,B09GSWML11,us
229,2015-08-18,0.0,B09GSWML11,us
230,2015-08-19,0.0,B09GSWML11,us
231,2015-08-20,0.0,B09GSWML11,us
232,2015-08-21,0.0,B09GSWML11,us
